,trip_distance,wait_time,start_time,origin_lat,origin_lng,busy_ratio,reward
0,2.60114956051737,5,36005,40.7679674,-73.9682154,27.7,0.441523785342993
1,6.5725653215715,5,36005,40.7555038,-73.9680652,27.7,0.443155768547429
2,1.45976699699064,5,36005,40.7491617,-73.9726999,27.7,0.435655640786494
3,1.84606929164584,5,36035,40.8163768,-73.9579677,27.7,0.437927724944078
4,8.54639758392785,5,36040,40.842154,-73.942279,27.7,0.444463772709969
5,3.09018484790068,305,36515,40.7566054,-73.9765162,27.7,0.44454692112847
6,20.8789379421439,5,36960,40.867016,-73.92311,27.7,0.445022382974377
7,8.96713694736819,200,36770,40.8284141,-73.949184,27.7,0.444472282331277
8,10.6446903276899,145,37125,40.822698,-73.9533594,27.7,0.444828853216781
9,6.84672753270576,305,37240,40.7551193,-74.0024719,27.7,0.444005617848545
10,2.64576096508829,305,37490,40.7852953,-73.9693361,27.7,0.445617522345341
11,2.93188775032842,305,37670,40.756498,-73.972362,27.7,0.445618722710563
12,2.44707787015735,305,37735,40.7601316,-73.9848631,27.7,0.446273573878203
13,22.6705773171865,5,38055,40.8411266,-73.9398609,27.7,0.446928363023437
14,20.8789379421439,5,38795,40.867016,-73.92311,27.7,0.443130393981187
15,5.03631845403026,305,38615,40.7788301,-73.9539755,27.7,0.440476663835882
16,12.1958373153882,305,38775,40.7656797,-73.976244,27.7,0.445387697387782
17,1.84524644918726,305,38980,40.7596371,-73.970072,27.7,0.447415440988582
18,7.39204969195643,305,39065,40.7666367,-73.986668,27.7,0.446816284611986
19,2.58199067465729,305,39280,40.748435,-73.996192,27.7,0.439167952235011
20,3.05222289994096,305,39420,40.7597869,-73.9879285,27.7,0.446842186998033
21,1.53090951105959,285,39785,40.8220613,-73.9499097,27.7,0.440342662891674
22,1.60820110456646,305,40040,40.7495663,-73.9794069,27.7,0.443621995277028
23,0.596449586522269,305,40505,40.732929,-74.000066,27.7,0.442365634436344
24,4.65527567940973,305,40510,40.7458555,-74.0018592,27.7,0.440107966458296
25,5.1749229300961,305,40600,40.7622903,-73.9744717,27.7,0.447316453366566
26,1.30925354428387,305,40640,40.7347802,-74.0084332,27.7,0.444030331926686
27,6.08150628652149,285,40735,40.7727099,-73.9494729,27.7,0.449788521056465
28,11.1390852105298,210,40900,40.7481885,-74.0076356,27.7,0.440383419197797
