model,num_matched_order,total_price,avg_wait_time,avg_pickup_time,driver_utilization_rate,avg_pickup_dis
lr,0.523177547865382,1367290.1,142.036787663424,477.643271748347,0.102197962962963,2.73318094389332
lstm,0.5,1255522.0,147.18,360.85,0.12,2.031
bl,0.517342,1363980.0,141.474725,630.431323,0.091242,3.607468
0.5,0.362659055773576,925926.100000008,162.725751600081,240.538069729088,0.144489953703704,1.37641228789423
1,1.322189315411778,1475298.8000000056,5501.354648739957,304.2137540977823,0.3178859567901234,1.7407787040039768
2,0.523415388274468,1367303.90000001,141.601556506754,474.577122926628,0.102359305555556,2.71563575896904
3,0.5349268640742062,1426398.600000005,188.9420879752985,617.1507913357495,0.2814608024691358,3.531473972643456
4,0.5517897490783684,1478703.3999999976,185.0171710068943,776.18945023874,0.2582654284383809,4.441528520810568
5,0.5562135806873588,1490967.799999996,188.1065362776025,939.3686191385012,0.2400920524691358,5.375275987292534
6,0.5566654774646213,1491599.1000000031,187.4311647415288,1066.5314719126764,0.2447584876543209,6.102930089278093
transformer_esw_hkisland,0.3788797716732073,1013001.000000006,393.11818442768,772.7377319248614,0.0689818055555555,4.4217770215700405
transformer_esw_HK,0.5200380544654537,1389718.7000000044,225.1997911395741,1424.7748779892984,0.2404766203703703,8.152878468494318
transformer_fix,0.4066833154953027,1074893.5000000093,222.4189002188276,773.5284878880204,0.1579042438271605,4.426301902914784
transformer_am,0.5234867403971935,1407253.2000000062,223.61886350409824,1463.371143962787,0.2350621141975308,8.373734879342615
transformer_amw,0.525151623260792,1413552.8000000035,222.57408113276963,1459.5380028842806,0.2401797067901234,8.351800794282273
transformer_es,0.5248186466880723,1408668.3000000056,224.996335744874,1457.7608704877352,0.2381871141975308,8.34163164779093
transformer_esw,0.5187775002973005,1387806.0000000068,223.6832313349488,1435.1369683410396,0.2436679012345679,8.212172652173727
2.5,0.5188250683791176,1378721.4000000053,198.01853182694344,534.3967472982272,0.2853458333333333,3.057936942873189
7,0.5495540492329647,1473480.8000000045,195.8553666465669,1187.485414326985,0.188141655852318,6.795055426426637
8,0.5452253537876085,1462215.7000000058,203.6472967577994,1287.2981525081166,0.2268581018518518,7.366206094907556
9,0.5363776905696278,1436877.9000000102,217.22590798874265,1376.356721586991,0.235075,7.875819017970005
10,0.5237007967653704,1407301.700000006,226.05226236063817,1463.1848146542209,0.23669756813386128,8.372668661632487
