,driver_num,pickup,delivery,cruise,matching rate,waiting time,pickup time,pickup ratio,delivery time,delivery ratio
0,250,rg,rg,cruise=False,0.04950999109074711,97.93766066838046,741.5085184386081,0.18118897964439692,2694.6638292239495,0.7629890731265591
1,400,rg,rg,cruise=False,0.08723113147511773,83.07751231077877,750.0252433742961,0.21402630064112582,2353.85937379322,0.7325842426076352
2,500,rg,rg,cruise=False,0.11663166603029146,73.46323830309645,749.5152964210758,0.23682601379971494,2137.869517496896,0.7125241970583406
3,1000,rg,rg,cruise=False,0.3056828305969199,45.04590402831269,728.3991862248066,0.31489775930403907,1465.0162791151342,0.6406394103880556
4,1500,rg,rg,cruise=False,0.591765304823724,299.2603505753307,1000.8264844248212,0.5737454049909453,715.2759040955042,0.40152586863237755
5,2000,rg,rg,cruise=False,0.832569683085147,21.274038829014753,684.2605228073581,0.4103266429070837,864.17855523737,0.5156565441581321
